,exp_iso3,group,year,av_degree,clustering,modularity,avg_duration,super,seq0.5,seq0.75
3528,ISL,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.461538461538462,0.6962044,0,1
3529,NLD,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.5,0.2179526,1,1
3530,NOR,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.8,1.074679,0,0
3531,RUS,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.571428571428571,1.089111,0,0
3532,SWE,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.75,0.263737,1,1
3533,USA,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.111111111111111,0.26536468,1,1
3534,GRL,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0,1.030878,0,0
3535,BEL,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.428571428571429,0.422028408,1,1
3536,CAN,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.2,0.487478728,1,1
3537,DEU,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.5,0.427575,1,1
3538,DNK,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.458333333333333,0.4939664,1,1
3539,ESP,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.375,0.896829,0,0
3540,FRA,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.466666666666667,0.5871049,0,1
3541,GBR,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.6,0.5780316,0,1
3542,IRL,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.75,1.156711,0,0
3543,ISL,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.454545454545455,0.7044935,0,1
3544,NLD,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.5,0.2211776,1,1
3545,NOR,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.80952380952381,1.01786,0,0
3546,RUS,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.727272727272727,0.9654046,0,0
3547,SWE,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.692307692307692,0.2624259,1,1
3548,USA,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0.0909090909090909,0.22966223,1,1
3549,GRL,haddock,2014,8.64150943396226,0.391080617495712,0.0624511355618695,0,0.9705066,0,0
3550,BEL,haddock,2015,8.53571428571429,0.347619047619048,0,0.75,0.368351152,1,1
3551,CAN,haddock,2015,8.53571428571429,0.347619047619048,0,0.5,0.629668304,0,1
3552,DEU,haddock,2015,8.53571428571429,0.347619047619048,0,0.384615384615385,0.3962824,1,1
3553,DNK,haddock,2015,8.53571428571429,0.347619047619048,0,0.523809523809524,0.4827562,1,1
3554,ESP,haddock,2015,8.53571428571429,0.347619047619048,0,0.375,0.8315542,0,0
3555,FRA,haddock,2015,8.53571428571429,0.347619047619048,0,0.461538461538462,0.544344,0,1
3556,GBR,haddock,2015,8.53571428571429,0.347619047619048,0,0.428571428571429,0.5034862,0,1
3557,IRL,haddock,2015,8.53571428571429,0.347619047619048,0,0.375,1.101656,0,0
3558,ISL,haddock,2015,8.53571428571429,0.347619047619048,0,0.5,0.6838572,0,1
3559,NLD,haddock,2015,8.53571428571429,0.347619047619048,0,0.684210526315789,0.2786055,1,1
3560,NOR,haddock,2015,8.53571428571429,0.347619047619048,0,0.615384615384615,1.051258,0,0
3561,RUS,haddock,2015,8.53571428571429,0.347619047619048,0,0.615384615384615,1.165263,0,0
3562,SWE,haddock,2015,8.53571428571429,0.347619047619048,0,0.615384615384615,0.2536864,1,1
3563,USA,haddock,2015,8.53571428571429,0.347619047619048,0,0.333333333333333,0.266283505,1,1
3564,GRL,haddock,2015,8.53571428571429,0.347619047619048,0,0,0.4929092,1,1
3565,BEL,haddock,2016,9.14814814814815,0.369094488188976,0,0.5,NA,NA,NA
3566,CAN,haddock,2016,9.14814814814815,0.369094488188976,0,0.5,NA,NA,NA
3567,DEU,haddock,2016,9.14814814814815,0.369094488188976,0,0.636363636363636,NA,NA,NA
